,Mkt,SMB,HML
200901,-8.12,-2.35,-9.67
200902,-10.1,-1.4,-6.9
200903,8.95,0.93,2.54
200904,10.19,6.75,5.22
200905,5.21,-2.35,0.58
200906,0.43,2.28,-2.39
200907,7.72,2.56,4.73
200908,3.33,0.2,7.65
200909,4.08,2.68,1.35
200910,-2.59,-4.78,-4.35
200911,5.56,-2.79,0.23
200912,2.75,6.08,0.72
201001,-3.36,0.25,0.61
201002,3.4,1.53,2.74
201003,6.31,1.85,2.01
201004,2,5.03,3.12
201005,-7.89,-0.08,-2.32
201006,-5.56,-2.59,-4.27
201007,6.93,0.13,0.04
201008,-4.77,-3.07,-1.51
201009,9.54,3.71,-2.94
201010,3.88,0.72,-2.23
201011,0.6,3.54,-0.58
201012,6.82,1.03,3.47
201101,1.99,-2.38,0.68
201102,3.49,1.76,1.73
201103,0.45,2.66,-1.16
201104,2.9,-0.41,-2.15
201105,-1.27,-0.69,-2.12
201106,-1.75,0.09,-0.26
201107,-2.36,-1.38,-1.18
201108,-5.99,-3.39,-1.58
201109,-7.59,-3.9,-0.98
201110,11.35,3.72,-0.96
201111,-0.28,-0.34,-0.18
201112,0.74,-0.36,1.57
201201,5.05,2.35,-2.14
201202,4.42,-1.54,0.01
201203,3.11,-0.3,-0.06
201204,-0.85,-0.66,-0.2
201205,-6.19,-0.2,0.08
201206,3.89,0.99,0.54
201207,0.79,-2.74,0.01
201208,2.55,0.61,0.6
201209,2.73,0.69,1.56
201210,-1.76,-0.8,4.16
201211,0.78,0.41,-1.12
201212,1.18,1.91,3.26
201301,5.57,0.57,1.34
201302,1.29,-0.35,0.28
201303,4.03,0.9,-0.07
201304,1.56,-2.32,0.35
201305,2.8,2.27,1.33
201306,-1.2,1.33,-0.4
201307,5.65,1.81,0.71
201308,-2.71,-0.03,-2.48
201309,3.77,2.72,-1.57
201310,4.18,-1.57,1.36
201311,3.12,1.47,-0.38
201312,2.81,-0.44,-0.2
